uniqueID	drugName	review	date
97320	Ambien	"I have a friend who had taken ambien for years without any problems. For whatever reason he had an episode where he took his pill and then remembers nothing until he was at the police station. He had drank three beers (which he only knows because that&#039;s all that was in his frig) then proceded to drive (!!) and ended up crashing into another parked car. This is scarey stuff, eh? It works wonderfully, but I surely wouldn&#039;t want to have a blackout and end up driving. Is there any class action suit against this drug? I&#039;ve heard of the other stories -- walking naked in the winter cold, eating while sleeping, and then my friend&#039;s experience."	4-Oct-09
139178	Phentermine	"This drug is amazing. I lost 20lbs in 2 months."	9-Sep-08
96811	Ambien	"I was prescribed Ambien, then later Ambien CR, for several years for insomnia.  Wow!  Just like I&#039;d heard about -- take the pill and 20 minutes later I was out.  Didn&#039;t really experience &quot;hangover&quot; the next day, but then I allowed myself 7 +/- hours of sleep.  Then, it happened:  woke up one morning and my kitchen was somewhat of a mess but I didn&#039;t remember being up or making tuna salad on toast.  That happened a few more times before I weaned myself off Ambien.  Haven&#039;t had a good night&#039;s sleep since.  I&#039;ve been prescribed a few different sleep meds but haven&#039;t had any success.  Tried OTC diphenhydramine (Benadryl, Motrin PM) with Melatonin and began not remembering simple words, appointments, etc."	21-Nov-16
138923	Phentermine	"I&#039;m a 39 yr old man 6&quot; 250 lbs.  Started phentermine 37.5 November 30th, my doctor put me on one pill in the morning and a half in the afternoon. I have lost 5.4 pounds in a week. Side effects with me are dry mouth, hard to sleep the first few nights, slight tingling in my arms. It does suppress my appetite and that&#039;s what I need."	6-Dec-09
128788	Phentermine	"I loved the product! I started June 1, 2014 to August 2014. IN 2 MONTHS I HAD LOST 30 LBS! I was doing Zumba 3 times a week and had a personal trainer to help tone my body with my new found ENERGY. The Personal Trainer was a waste because Adipex with Zumba was doing a tremendous job all on its own. I wasn&#039;t craving sweets thanks to Adipex. I cut out fast foods, carbs, and late night eating. Plus I drank anywhere from 1/2 to a gallon A DAY! However, the medicine still made me constipated. I started at 244 and got down to 209lbs. I stopped using it for about 5 months AND THE WEIGHT STAYED OFF, while not eating so healthy. "	24-Jan-15
138646	Phentermine	"Today is my 2nd day taking this pill.  I have had dry mouth and was unable to sleep throughout the whole night last night.  I do not feel energy at all, in fact, since I didn&#039;t sleep, I didn&#039;t even want to get out of bed today.  I&#039;ve had a bad headache today, and feel a bit nauseated too.  I&#039;m going to keep trying it, but just wanted to go over some side effects after my 1st day on it.  I hope to lose weight though"	8-Mar-12
72037	Tramadol	"I think there is a reason the government has made Tramadol a category C drug...they want people in society to take it but everybody in society just wants to get high. Tramadol is the best DEPRESSION, ANXIETY, MILD PAIN MEDICINE EVER. This actually is better than everything without the high. If you actually wanna be a happy person without being high, this is it. 50 mg am- optional second until next day. Forget the critics. I would say this is like adderal, without the hunger side effects, lack of sleep, personality disorder, grumpyness, depression, etc etc etc. The best thing about it is the government is only selling it for $4 dollars. You don&#039;t even need health insurance."	8-Jun-15
140520	Escitalopram	"Supposed to be 6 weeks to take effect. I felt instantly calmer, happen the NEXT day! Couldn&#039;t believe it. Started at 10mg moved to 20 MG in year of use. My problem now is  its been 7 years of working for me but 20mg doesn&#039;t have same effect of earlier years. I want to have  increase in MG use. How to I get doctor to do this?"	18-Jan-17
140747	Escitalopram	"I&#039;ve been taking lexapro for about a year now and it seems to help a lot with my social anxiety. I don&#039;t think about nor care what people think as much as I used to. But it does make me kinda have like no emotion toward people&#039;s feeling &amp; what not. Which is a downside. But I used to be afraid of big crowds. I wouldn&#039;t really want to be around people but at the same time I did because I wanted to have friends and be outgoing but it was extremely hard for me. Also I had like mild depression, always negative thoughts. But since I&#039;ve been taking it it&#039;s definitely made me more positive and more friendly. Before I would always worry about everything and when I say everything I mean everything lol. With out it I do have bad withdrawal &amp; it sucks."	22-Jul-16
64431	Sertraline	"I suffer from harm-ocd (violent impulsive thoughts), and im taking Zoloft for almost 2 years now. Im currently 23 years old. Here is my review..    It helped me much but it didnt eliminate OCD. Though, it reduced anxiety and the frequency my mind produces impulsive thoughts with. In the past, i had pains in the back side of my head and Zoloft made them go away.    Nonetheless, I also had some side effects. If i take it late at night, it will cause me tension making it hard for me to sleep. Additionally, i feel like its much harder for me to climax during sex. I still can ofcourse, but i need to put the double effort."	22-Jun-16
64412	Sertraline	"I have been using setter alone now for around 4 years and they help with my mood and anxiety, I am on 100mg, 1 tablet a day. My hair has gone extremely thin, losing loads each day, via combing; I thought initially it was after having my son who is nearly 4 years old, as hair loss can be associated after bearing a child but its getting worse, to the point where my daughter said gosh mum that&#039;s not normal, your hair comes out in clumps!   I am rather worried as may be it could be the medication?  Plus Iv put on weight and my appetite has increased! Iv put on 3 stone since having my son.   I think I&#039;m going to reduce the amount gradually and stop taking it as il end up more depressed if these symptoms continue!"	23-Aug-16
139104	Phentermine	"I&#039;ve been using phentermine to lose the remainder of my baby weight. It&#039;s been 2 weeks and I have lost 14lbs I do exercise and already eat right but after I lost the first 50lbs, I turned to this for a plateau breaker it broke my plateau and its helping me get back within navy standards with nothing to worry about. I recommend this to anyone who fully understands the effects of this controlled drug and has a very good understanding of healthy eating and the importance of exercise. Please note that this is a temporary medication - it is not meant to be used past a 12 week period during this time you are supposed to learn how to make healthier lifestyle choices. "	26-Jan-09
95684	Sertraline	"I&#039;m very surprised at what this medication has done for me. I have been prescribed an SSRI multiple times but never took one because I was convinced my feelings of guilt and anxiety were appropriate reactions to my failures in life. I have lived a bohemian life chasing contentment and self respect. In a new relationship and questioned by my partner about my inconsolable sense of unhappiness, I realized I needed to try something other than running away so in a last ditch move, signed up for a depression study that has given me 6 mos of Zoloft medication. I have clarity now I haven&#039;t experienced in a decade, it is wonderful and sobering because I realize now how serious chemical depression is. Don&#039;t self medicate, it&#039;s OK to get help!"	5-Dec-14
96242	Sertraline	"I have been on Zoloft for about 6 weeks. I was experiencing depression which manifested itself in crying spells, anger, helplessness and loss of motivation. It took approximately 4 weeks for me to notice any changes,  but I have noticed recently that I have motivation once again and I have not experienced any side effects which i was dreading such as loss of sexual desire and weight gain.  I feel like my normal self again and able now to handle the issues of my life  Prior to this I was sad a lot and having many crying bouts.  I haven&#039;t noticed any negative side effects whatsoever."	20-Mar-12
127805	Phentermine	"Just started Phentermine, I weight 284lbs!! I am 28 years old. This is the heaviest I have ever weighed. I want my life back in control and I want to feel beautiful again! Wish me luck!!"	29-Jan-17
95884	Sertraline	"Took 2 weeks to feel a bit better.  Stick with it through side effects. I take 62.5 mg in the morning and 25 mg in evening now.  After 5 months I feel pretty good."	13-May-14
64185	Sertraline	"I have suffered from Panic disorder and OCD since the age of 18.. Been on medication but stopped when I was 28 due to my pregnancy - Anyhow, 2016 of April I was prescribed Generic Lexapro, keep in mind the brand name worked wonders! The generic was a horrible experience.. Now its my 3rd day of switching to Sertraline 50mg.. The switch has been amazing so far! I feel so much better already."	9-Mar-17
140973	Escitalopram	"So to start, Im not affiliated with any med companies, nor is this some fake bs review. I was you, scanning reviews all night long, just two weeks ago. I have a HUGE personal phobia of medication, in dread of any adverse side effects... and my anxiety has also come back with a vengeance over the last 2 years, and began controlling my life.     I started on 5mg generic. People say it&#039;s placebo at this dose....everyone is different. I can tell you a few things: The 9th day on it I had realized most of my anxiety was gone &amp; all my emotions, sex drive, were all in tact. 1 major problem... Insomnia for every single night, and night sweats. Couldn&#039;t sleep for more than 3 hours a night. Helped, but not the right med for me due to this. Try it!"	26-Mar-16
138373	Phentermine	"I started taking phentermine on February 14, 2014, Since then I have lost at least fifteen pounds and it has not even been a whole month yet, this is awesome, I work night shift so it keeps me up all night and gives me plenty of energy, I hardly ever get a chance to work out because I have three children that crave a lot of attention, this stuff is the best thing since sliced bread! I don&#039;t think about eating, I will force myself to eat a little bit of something healthy every few hours, the side effects were scarey the first two days but after that my body pretty much got used to them. Anyone looking to lose weight this is most definitely a jump start way!"	1-Mar-14
127894	Phentermine	"I am 227 lbs and 5&#039;3&quot;. I started taking the Adipex 37.5 today (11-18-16) at 7:30 am. I could tell that I took it because I was very talkative, and not energetic as in bouncing off the walls or nothing, but more like I actually had the energy to do my work and I was really focused on it. Done more today at work than I done all week. Only thing I have a problem with is when I ate it felt like I slowed down, and all my energy was gone. Maybe it want be like this the whole time. I will keep ya&#039;ll updated on my progress."	18-Nov-16
139150	Phentermine	"I am 5&#039;2 and 210lbs as of yesterday. I have been taking Phentermine 15mg for 30 days only. Today is my 2nd day and I have only experienced dry mouth and a little more energy. I have read that people have a lot more energy and don&#039;t think about eating. Well yesterday I took the 1st pill at 5.55am and I was hungry by 10.30am and sleepy again by 12noon. I tried taking a nap around 7 but couldn&#039;t get to sleep. Went to bed around 11.30pm slept fine. I am hoping to lose 65lbs but I will settle for 55lbs. I just wish the doctor would have started me on a higher dosage. I am drinking a lot of water and I plan on working out on the Wiifit for 1 hour a day. I will write back in 2 weeks if I lose any weight."	16-Apr-09
128091	Phentermine	"I am a 31 yr old female, I weighed in at 207lbs and a height of 5&#039;3. I started taking Phentermine 30mg around May 15th. I went in for a 30 day check up and I was down 17lbs. I wasnt hungry at all, most days I wouldn&#039;t feel like eating untill lunchtime, then I would take a pill with a bottle of water before lunch then eat a small lunch, and an even smaller dinner.  I would try to walk for 20-30 minutes a day, sometimes more, sometimes I wouldn&#039;t get a chance to walk at all. The doctor was very pleased, as was I. He perscribed me for another 30 day perscription... But... I have done everything the same this round and haven&#039;t lost any weight at all. I have even threw in some extra walking. Has anyone else experienced this?"	13-Jul-16
95937	Sertraline	"I have struggled with obsessive compulsive disorder since I was 6 years old hiding it from family and friends because I had no idea what was going on when I was little. I then got so stressed I had shooting pain through my whole body and went on Cymbalta for 6 months then got off of it and was back to normal with no pain, just OCD. I then got sick with vomiting, couldn&#039;t eat, felt scared to be alone. My doctor told me it was anxiety. He gave Zoloft 25 mg and stared me on it really slow. I am on 50mg and a half once a day and I am back to normal....no vomiting or no bad thoughts. I still have some bad moments of OCD but they don&#039;t last long. I have recommend this to people! I am 26 years old and finally can enjoy my life."	13-Aug-13
72257	Tramadol	"This has helped my mom along with gabapentin for her disc problems. "	30-Jun-12
71832	Tramadol	"I have RLS and my legs really hurts at night, even at days but not as much.   my wifes mother Gave me a Tramadol that she use fore her back pain, i sleep like a baby,  i fall a sleep really Quick and have a really nice sleep, when i dont take it i cant sleep at night. 100mg to 200mg will do it."	9-Apr-16
71703	Tramadol	"Well besides depression I battled with eating disorders my whole life. I never knew of this Med until 2 years ago. It really has helped me with my ED , anxiety, mood and energy! Sadly it&#039;s hard to get a prescription because is more of a narcotic"	10-May-17
97010	Ambien	"Due to a painful disability the only way to sleep is with the use of Ambien. I give Ambien a two thumbs up, AAA   , it works terrific for me."	11-Feb-15
97194	Ambien	"I have been taking Ambien for 2 years now for insomnia and trouble sleeping.  It does make you tired, but you also feel really good and happy.  I would take it and an hour later, not remember anything. Also, I would still wake up every hour. It helped me fall asleep, but not stay asleep.  Recently, I over dosed on Ambien.  That is what really woke me up.  This is not for me.  I have been prescribed Seroquel for my sleeping problems and this is wonderful. I have no more sleepwalking and I remember everything."	20-Oct-10
96236	Sertraline	"After 1 week of loose bowels and strange stomach noises/sensations, week 2 came and the jaw clenching/teeth grinding sensation in my temples started. Along with throat pain and suicidal thoughts, it was tough to stick it out and stay on but I did. I started on 25mg then up to 50mg then on to 75mg by week 3. Things got better around then. I still felt anxious, but the medicine was blocking my physical response that my body would produce from stress and anxiety. I would get chest pains, stomach pains, head pains all the time, got checked out by every specialist under the sun, and I&#039;m a healthy 31 year old man with normal or better than normal heart, brain, lung and organ function. It was all in my head and Zoloft stopped my suffering."	8-Apr-12
140437	Escitalopram	"I was prescribed this med for GAD/anxiety. Worst 10 days of my life. Nausea, retching, dilated pupils, insomnia and vivid dreams, but worse yet near constant panic attacks. Coming off it now. I understand this drug helps many people. Unfortunately I was not one of them."	17-Jun-17
64386	Sertraline	"I told myself that if a miracle happened and this worked, that I would write a review. Let me start off by saying that this drug, literally, saved my LIFE. I&#039;ve always battled anxiety and panic attacks, and was on a small dose of Paxil and that seemed to take the edge off. I took it on and off for years. After I had my second baby at 28, I got terrible postpartum depression. I had thoughts of suicide, racing thought constantly, couldn&#039;t nap and took forever to fall asleep at night. I literally spent three months just thinking and obsessing over how horrible I felt. I wanted to crawl out of my skin and die. I was barely showering, brushing my teeth and hair and would stay in the same sweatpants and shirt for days. I could go on forever by I&#039;ll get to the point. After three months of pure hell, I went to my doctor for help. I was prescribed 50 ML of Zoloft. After being on it for 4 weeks, I stopped taking it because it wasn&#039;t working. After going another 2 weeks feeling miserable, I went to my doctor again.  She recommended we up the dose and stay on it for atleast 6 weeks. Well, after two weeks on 100 ML, I realized I was feeling better. I would go minutes without thinking negatively, then I would go hours, then full days. It feels SO good to feel like myself again. I truly thought I would be miserable forever. Please get help and try something if you are feeling terrible. Everyone is curable with the right drug and right dose. I wish I got help sooner. TRY THIS! It will work! If for some reason it doesn&#039;t, try something else! GET HELP NOW! I was doing the same thing you are - googling all types of antidepressants convinced there was no cure and they would never work. Stop spending your life wondering when you will be yourself again. You WILL get better and be 100% your old self again with an antidepressant!"	6-Sep-16
97178	Ambien	"I was having severe insomnia to the point where I was only getting 1-2 hours, at the most, of sleep a night. I started to hallucinate after a few days of this and was prescribed Ambien. It works fast (within 10 minutes after kicking in to fall asleep), but I only sleep 4-5 hours on it and then wake up refreshed. I don&#039;t get my full 7-8 hours. Not sure what&#039;s up with that. I tried Ambien CR and it took longer to fall asleep on that and I still only got around 4-5 hours of sleep on the CR version. I still use Ambien and it&#039;s better than Lunesta which gave me a nasty taste in my mouth and didn&#039;t even make me tired. Overall, I recommend Ambien."	9-Feb-12
138860	Phentermine	"Started this medicine 6 weeks ago and have lost 10 lbs. I have been watching my diet and walk/jog 2.5 miles 5 days a week with other exercises. I have a hypothyroidism making it very difficult to lose weight. Was on this medicine one other time 1.5 years ago for a month straight and realized that my body is immune to it after one week.  Now I take it 1 week on, 1 week off.  I notice lots of energy and dry mouth and a happy feeling for the first 4 days and then I start feeling sad, which then goes away in about 4 more days. I have also noticed vision changes in my right eye which I plan to see my eye doctor about.  All in all I recommend Phentermine as I would never have lost the weight or had the energy to make the necessary changes."	15-Aug-10
141998	Escitalopram	"I was put on this for my anxiety disorder and my bulimia/anorexia. I was put on 5 mg and than bumped up to 15 mg over a months times. I started this drug three months ago and last month I had to be taken off. I had bruises all over my legs, I had no energy, I would fall asleep at 10pm and wake up at noon the next day and be taking a nap at 3pm. My anxiety improved some but those side effects were too much."	16-Jun-09
128841	Phentermine	"I started Adipex a year ago. Lost 50lbs in 3mos. Then got pregnant. Had him 2 months ago. And only gained 15lbs during and lost right away. But I still didn&#039;t reach my goal. So I&#039;m on it again. I&#039;m on day 4 and down 5lbs. I love this pill! Never exercised or dieted before but I&#039;m going try this time."	2-Sep-14
72202	Tramadol	"Had an extremely painful foot condition, which turned out to be gout. The tramadol helped relieve the extreme pain."	29-Apr-14
96160	Sertraline	"Sertraline has helped me so much. About a year ago I took a phsyc. test with my doctor (phsycologist). I was recommended to go on medication by her and so I took my results to my actual doctor and went over it with her. She decided to first put me on Prozac, it made my depression ease but my anger way worse. So then she put me on sertraline. Now I&#039;m not so nervous around people. I used to always stay where I could see everyone but now I&#039;m more at ease with my anxiety and can function and talk smoothly. I don&#039;t get angry (barely anymore) and when I do it&#039;s not near as bad as it was. I used to be always sad too. But now it&#039;s like when I wake up, I&#039;m happy and wanting to do things again! Thank you Sertraline!"	26-Feb-12
95794	Sertraline	"I&#039;ve scrolled through about 3 pages of comments but I have failed to find one of the side effects I&#039;m now thankfully free of.  I had an INSATIABLE appetite for sugar, namely chocolate.  But if none happened to be available and I was desperate, I&#039;d just pour a cup of sugar and eat it with a spoon.  I actually lost weight during the time I took it, but every evening I&#039;d need to eat enough sugar for 10 people to curb the craving.  Secondly, it was TERRIBLE for sex drive.  Absolutely horrid.  Overall this medicine was helpful for me, I&#039;m in the process of dosing down now. which IS an awful process.  Make sure to do what your doctor says.  I&#039;m doing it the right way and still have insomnia, rapid heart beat and brain zaps."	13-Feb-14
34273	Tramadol	"My wife said that my jerking legs stopped jerking now she can sleep better at nights, and I feel good too."	20-Jul-08
72189	Tramadol	"This medicine worked decently. I&#039;ve recently had a spinal fusion due to blowing out my back from lifting weights for football. My L5 disk literally exploded and bone particles were seeping down my spine. This helped relieve the pain after surgery but I did build a tolerance quickly."	13-Jun-14
96366	Sertraline	"I&#039;m in my mid-40&#039;s and have been on Zoloft for six years. Anxiety gone...it no longer rules my life. I am able to go out in public and not feel like my world was going to end. Still am subject to turning inward at times..but doesn&#039;t everybody? I do notice some memory issues like really having to think longer about names and places. (Sometimes I feel like a slow computer trying to load a page!) Dosage has been 150mg."	7-Mar-10
140902	Escitalopram	"I was prescribed this drug for occasional anxiety issues, related to pressure at work. I took it during an extremely stressful time where I experienced extraordinary anxiety. The first day it helped me quite a lot, by taking away the negative feeling in my chest and making me more relaxed and social. Later in the day, it made me very awake, without impairing my sleep. I took it for another 4-5 days every day in 2.5-10mg to try with different dosage. The positive impact faded and I got serious problems with side effects. I could hardly sleep any longer and the combination with diphenhydramin (sleeping pill) made it even worse, by excessively reducing my heart rate and respiratory condition. The last 2 days i hardly slept, due to &#039;hypnic jerks"	16-Jan-16
138582	Phentermine	"I just turned 30 last month. I started Adipex in November 2012. Lost 10 lbs and thought I could keep going without the pills. Ended up gaining all the 10 back, plus another 10 after all the holidays. I was 230 lbs, 5ft 7 in. I got back on Adipex 4 weeks ago and I am now 210 lbs!! I only get to the gym maybe 3 times a week. I used to get dry mouth, so drank more water. I pretty much ate what I wanted, but a lot less of it considering the pills make me not hungry at all. So now starting strict diet, I should be able to lose more than 20 lbs a month!"	3-Mar-13
128510	Phentermine	"Hey guys I&#039;m back again I just finished my 1st week on Phen 37.5. And I have lost a total of 12.8 pounds. I did not skip any meals although I wasn&#039;t always hungry. I made sure to eat something. I was already a big water drinker before starting it just made me drink more because my throat was always dry. 270.1 to 257.3 from July 28th to Aug. 5th. I did experience severe constipation though but a little magnesium citrate fixed that up. Female 22"	5-Aug-15
97165	Ambien	"It&#039;s not working. I still stay up or get up 5 to 6 time a night."	28-Jul-12
127428	Phentermine	"I just started taking these today, hopefully I will have the same luck as some of you!"	1-Nov-17
141941	Escitalopram	"I&#039;m a 33 YO female, and this is my first time being on any kind of anti-depressant.  I&#039;ve been on Lexapro 10mg for about a month now.  I noticed an immediate increase in energy, and even felt a little jittery.  The doctor said it typically takes 2-3 weeks for it to fully kick in, but some people notice a change within 24-48 hours, which was me.  I have decreased appetite and a lot of foods upset my stomach, so I&#039;m eating less as well.  Subsequently, I&#039;ve lost some weight (which I like since I need to lose some!)  I feel like doing things again and actually have some sort of sex drive, which had been completely absent for a while with the depression.  I&#039;m sleeping better, and it&#039;s easier to get out of bed.  So far, so good."	17-Nov-09
128064	Phentermine	"I started Phen on March 23rd and weight 193.  As of June 27th, I weighed 169.  My goal weight is 155. (I&#039;m 5&#039;10&quot;) I took a whole pill for the first couple of weeks...but, experienced extreme side effects - jitters, cotton mouth, breathing irregularities, constipation etc.  I decreased my intake to 1/2 pill every morning and the side effect were more manageable.  I now take the weekends off on the pill and exercise when my schedule allows.  I eat extremely clean...Except for a couple of glasses of wine every now and then.  I&#039;ve also gotten the lipo shot 3 times since I&#039;ve been in Phen."	27-Jun-16
128880	Phentermine	"Best keep Secret!!"	26-Jun-14
139200	Phentermine	"I&#039;m a 26 year old female and I started taking this medicine along with a fluid pill on 01/25/08. At my heaviest weighing 317 lbs, I tried everything under the sun and lost maybe 10 lbs maximum here and there, but it always came right back. When I began this medication I weighed 308 lbs. Its 07/16/08 I weigh 218 lbs. That&#039;s a 90 lb loss from the date I started and 99 lbs since my heaviest. I do excerise for around an hour several times a week. I eat almost anything I want just in small portions. I cry when I look in a mirror."	16-Jul-08
96935	Ambien	"I&#039;ve been taking Ambien for many years. The first year, I was prescribed 10 mg nightly. I had experienced a &quot;deep sleep&quot; and through the entire night. For the first time in my life, I didn&#039;t feel exhausted the next day. Then my dosage was changed to 5 mg, which was tough! My tolerance to the higher dose made it not work. My Dr. gave me something different to substitute while my body adjusted. It&#039;s not been 2 years, that I&#039;ve been taking the 5 mg. I also take Adderall XR @ 20 mg daily and 20 mg of Prozac. During the last 6 months, I&#039;ve had difficulty with memory. Being able to recall things I read, appointment times, things people had said to me. I am 52 years old, and I understand that comes with age. But has anyone had similar problems?"	14-Aug-16
96949	Ambien	"I&#039;ve been taking ambien for over 6 years. It helps me sleep and I can sleep 6 hrs and felt like I slept 10 hrs only bad thing is once commit to taking ambien I can&#039;t be bothered cuz I won&#039;t remember so I usually lock my self down but it is a very helpful drug"	31-Mar-16
64070	Sertraline	"I am taking Sertraline. Started about two months ago. It is a Rolla coaster. 50mg for now. Depression for me is a 30 year battle. I like the numbness it brings at times."	22-Jan-17
128914	Phentermine	"I took my first dose on May 10th, I dropped 9lbs immediately within the first 4 days without exercise, my side effects the first 3 days were dry mouth, excessive energy, slight difference in my heart rate, clammy and insomnia. Day 5 has been totally different and I started going to the gym again today.  My heart rate was still slightly higher and I ask have problems sleeping but everything else went away. I dropped 2 more pounds today from mowing the lawn and walking the treadmill for thirty minutes. I do have to make myself eat I&#039;m never hungry. I eat 6 times per day counting in at about 2000 calories a day. I watch my carb and sugar intake, but eat lots of dietary fiber and protein. My goal is 150 lbs, I started at 207 and I&#039;m now 196lbs."	14-May-14
96143	Sertraline	"I starting taking Zoloft after speaking to my doctor about my problems -- irritability, sadness, loss of sex drive, poor body image, etc.  She suggested we try this medication for one year at 50 mg a day.  Within 2.5 weeks, I started feeling better. I wasn&#039;t mad all the time and even managed to have sex again after a nine month hiatus. I felt much more confident and in control of my emotions. I even managed to lose 15 pounds and am still losing. I have experienced no side effects whatsoever."	27-Oct-11
138841	Phentermine	"I started using phentermine on 9/29/2010. I had my first check-up on the 29th of October, and was surprised to see that I had lost an amazing 28 pounds in just 4 short weeks.  The only side effect that I have had is the dry mouth, which I almost consider a good thing because it allows me to drink the water I have always needed to drink.  I have been so tempted to go and buy a scale for the house just to keep up on my weight loss more, but I really like the surprise when I step on that scale at the doctors. This pill is an answer to my prayers and I would recommend it to anyone who is serious about wanting to lose the weight."	4-Nov-10
96325	Sertraline	"I&#039;ve been taking Zoloft for six weeks so far.  I started at 12.5 mg, advanced to 25 mg and am now at 37.5 mg.  I am increasing to the 50 mg tonight.  It was difficult at first with the side effects of a very sick stomach and increased nervousness.  I see a therapist and she explained to me that my increased nervousness is a result of my anxiety about taking the medicine to begin with!  At this point, I can honestly say I feel a big difference.  I am much more calm, and I feel like my mind is getting some rest.  I used to think WAY too much about everything.  It&#039;s nice.  The side effects are going away.  The sleep isn&#039;t fantastic but I get at least 6.5 hours so I&#039;ll take it. Overall, I&#039;m very happy and looking forward to whats to come."	7-May-10
72343	Tramadol	"Excellent pain reliever for chronic headaches after brain tumor removal.  No high like Vicodin and relief lasts longer with no bounce back pain."	28-Jan-12
138628	Phentermine	"My OBGYN just prescribed this medication based on 15% unexplained weight gain over the past 2 years due to peri-menopausal symptoms. I&#039;m 5&#039;10&quot; and weigh 140-145lbs. I have always maintained this weight even between and after both pregnancies. My youngest is now 5 years old and I&#039;m suddenly up to 168. I took my first dose on Tuesday (4/24) at 12:30pm. My doc warned me that if I may feel jittery (crawling out of my skin feeling) over the first few days. I&#039;m happy to report that I have had NO such ill side effect and sleeping better than before. As of this morning (4/27 Day 3) I am 165lbs. It is the best feeling I&#039;ve had in months! Make that years! It&#039;s the boost in confidence that I&#039;ve been so desperately seeking! Two thumbs up so far!"	27-Apr-12
142126	Escitalopram	"This pill works really well. Not for everyone but those that it will work on, it works great. Take effect in about 2 to 3 weeks."	28-Sep-08
